event,date,location,name_1,nationality_1,work_location_1,weight_1,height_1,dob_1,name_2,nationality_2,work_location_2,weight_2,height_2,dob_2,age_1,age_2,age_d,weight_class
Redkach vs Cruz,2016-04-19,"Sands Bethlehem Event Center, Bethlehem, Pennsylvania",Ivan Redkach,Ukraine,California,135,177,1986-03-11,Luis Cruz,Puerto Rico,,135,175,1985-10-10,30,30,0,Lightweight
Russell vs Hyland,2016-04-16,"Foxwoods Resort Casino, Mashantucket, Connecticut",Gary Allen Russell Jr,USA,Maryland,126,164,1988-06-05,Patrick Hyland,Ireland,,126,173,1983-09-16,27,32,4,Featherweight
Pedraza vs Smith,2016-04-16,"Foxwoods Resort Casino, Mashantucket, Connecticut",Jose Pedraza,Puerto Rico,,130,173,1989-05-08,Stephen Smith,United Kingdom,Merseyside,130,169,1985-07-22,26,30,3,Super featherweight
Glowacki vs Cunningham,2016-04-16,"Barclays Center, Brooklyn, New York",Krzysztof Glowacki,Poland,,200,183,1986-07-31,Steve Cunningham,USA,Pennsylvania,200,190,1976-07-15,29,39,10,Cruiserweight
Spence vs Algieri,2016-04-16,"Barclays Center, Brooklyn, New York",Errol Spence Jr,USA,Texas,147,177,1990-01-13,Chris Algieri,USA,New York,147,178,1984-03-02,26,32,5,Welterweight
Selby vs Hunter,2016-04-09,"O2 Arena, London",Lee Selby,United Kingdom,Wales,126,174,1987-02-14,Eric Hunter,USA,Pennsylvania,126,168,1986-09-30,29,29,0,Featherweight
Martin vs Joshua,2016-04-09,"O2 Arena, London",Charles Martin,USA,California,255,196,1986-04-24,Anthony Joshua,United Kingdom,Hertfordshire,245,198,1989-10-15,29,26,-3,Heavyweight
Broner vs Theophane,2016-04-01,"DC Armory, Washington, D.C.",Adrien Broner,USA,Ohio,140,168,1989-07-28,Ashley Theophane,United Kingdom,,140,170,1980-08-30,26,35,8,Super lightweight
Easter Jr vs Mendez,2016-04-01,"DC Armory, Washington, D.C.",Robert Easter Jr,USA,Ohio,135,180,1991-01-26,Argenis Mendez,Dominican Republic,New York,135,178,1986-07-03,25,29,4,Lightweight
Lipinets vs Ghvamichava,2016-03-15,"Robinson Rancheria Resort & Casino, Nice, California",Sergey Lipinets,Russia,California,140,170,1989-03-23,Levan Ghvamichava,Georgia,California,140,175,1985-07-30,26,30,3,Super lightweight
Santa Cruz vs Martinez,2016-02-27,"Honda Center, Anaheim, California",Leo Santa Cruz,Mexico,California,126,171,1988-08-10,Kiko Martinez,Spain,Comunidad Valenciana,126,165,1986-03-07,27,29,2,Featherweight
Ceja vs Ruiz,2016-02-27,"Honda Center, Anaheim, California",Julio Ceja,Mexico,California,122,170,1992-11-18,Hugo Ruiz,Mexico,California,122,175,1986-09-21,23,29,6,Super bantamweight
Frampton vs Quigg,2016-02-27,"Manchester Arena, Manchester, England",Carl Frampton,United Kingdom,Northern Ireland,126,165,1987-02-21,Scott Quigg,United Kingdom,Lancashire,122,173,1988-10-09,29,27,-1,Featherweight
Santiago vs Ruiz,2016-02-16,"Sam's Town Live, Las Vegas",Alexis Santiago,USA,Arizona,118,170,1990-09-26,Erik Ruiz,USA,California,118,168,1992-03-10,25,23,-1,Bantamweight
Herring vs Flores,2016-02-09,"Sands Bethlehem Event Center, Bethlehem, Pennsylvania",Jamel Herring,USA,Ohio,135,178,1985-10-30,Luis Eduardo Florez,Colombia,,140,175,1987-03-01,30,28,-1,Lightweight
Lubin vs De Jesus Macias,2016-01-31,"Seminole Casino Hotel Immokalee, Immokalee, Florida",Erickson Lubin,USA,Florida,154,177,1995-10-01,Jose de Jesus Macias,Mexico,Jalisco,147,175,1992-01-18,20,24,3,Super welterweight
Breazeale vs Mansour,2016-01-23,"Staples Center, Los Angeles",Dominic Breazeale,USA,California,253,201,1985-08-24,Amir Mansour,USA,Delaware,221,185,1972-07-25,30,43,13,Heavyweight
Garcia vs Guerrero,2016-01-23,"Staples Center, Los Angeles",Danny Garcia,USA,Pennsylvania,147,173,1988-03-20,Robert Guerrero,USA,Nevada,147,175,1983-03-27,27,32,4,Welterweight
James vs Molina,2016-01-19,"Club Nokia, Los Angeles",Jamal James,USA,Minnesota,147,188,1988-07-27,Javier Molina,USA,California,147,178,1990-01-02,27,26,-1,Welterweight
Flores vs Briones,2016-01-12,"Cowboys Dancehall, San Antonio",Miguel Flores,USA,Texas,126,173,1992-07-17,Mario Briones,Mexico,Aguascalientes,126,175,1986-01-11,23,30,6,Featherweight
Barthelemy vs Shafikov,2015-12-18,"The Pearl, Palms Casino Resort, Las Vegas",Rances Barthelemy,Cuba,Nevada,140,178,1986-06-25,Denis Shafikov,Russia,California,135,165,1985-06-03,29,30,1,Super lightweight
Thomas vs Gassiev,2015-12-18,"The Pearl, Palms Casino Resort, Las Vegas",Isiah Thomas,USA,Michigan,200,193,1989-01-30,Murat Gassiev,Russia,California,200,192,1993-10-12,26,22,-4,Cruiserweight
Arreola vs Kauffman,2015-12-12,"AT&T Center, San Antonio",Chris Arreola,USA,California,246,191,1981-03-05,Travis Kauffman,USA,Pennsylvania,239,191,1985-08-21,34,30,-4,Heavyweight
Figueroa vs DeMarco,2015-12-12,"AT&T Center, San Antonio",Omar Figueroa Jr,USA,Texas,147,171,1989-12-13,Antonio DeMarco,Mexico,California,149,178,1986-01-07,25,29,3,Welterweight
Tapia vs Wilson,2015-12-08,"Sun National Bank Center, Trenton, New Jersey",Keith Tapia,Puerto Rico,,200,188,1990-09-29,Garrett Wilson,USA,Pennsylvania,193,173,1982-06-25,25,33,8,Cruiserweight
Charlo vs Campfort,2015-11-28,"The Bomb Factory, Dallas",Jermall Charlo,USA,Texas,160,183,1990-05-19,Wilky Campfort,USA,Florida,154,173,1984-10-24,25,31,5,Middleweight
Williams vs Savigne,2015-11-13,"Beau Rivage Resort & Casino, Biloxi, Mississippi",Thomas Williams Jr,USA,Maryland,175,185,1987-08-25,Umberto Savigne,Cuba,Florida,175,185,1979-01-03,28,36,8,Light heavyweight
Rodriguez vs Seals,2015-11-13,"Beau Rivage Resort & Casino, Biloxi, Mississippi",Edwin Rodriguez,Dominican Republic,Texas,175,185,1985-05-05,Michael Seals,USA,Georgia,175,191,1982-07-01,30,33,2,Light heavyweight
Flores vs Tetteh,2015-11-10,"Austin City Music Hall, Austin, Texas",Miguel Flores,USA,Texas,126,173,1992-07-17,Alfred Tetteh,Ghana,District of Columbia,126,165,1978-08-01,23,37,13,Featherweight
Rhodes vs Lipinets,2015-10-30,"The Venue at UCF, Orlando, Florida",Haskell Rhodes,USA,Nevada,135,165,1987-10-09,Sergey Lipinets,Russia,California,140,170,1989-03-23,28,26,-1,Lightweight
Thompson vs Scott,2015-10-30,"The Venue at UCF, Orlando, Florida",Tony Thompson,USA,District of Columbia,263,196,1971-10-18,Malik Scott,USA,California,235,196,1980-10-16,44,35,-8,Heavyweight
Peterson vs Diaz ,2015-10-17,"EagleBank Arena, George Mason University, Fairfax, Virginia",Lamont Peterson,USA,Maryland,147,175,1984-01-24,Felix Diaz,Dominican Republic,,140,166,1983-12-10,31,31,0,Welterweight
Selby vs Montiel,2015-10-14,"Gila River Arena, Glendale, Arizona",Lee Selby,United Kingdom,Wales,126,174,1987-02-14,Fernando Montiel,Mexico,Sinaloa,126,163,1979-03-01,28,36,7,Featherweight
Washington vs Mansour,2015-10-13,"Little Creek Resort Casino, Shelton, Washington",Gerald Washington,USA,California,246,198,1982-04-23,Amir Mansour,USA,Delaware,221,185,1972-07-25,33,43,9,Heavyweight
Vazquez vs Mendez,2015-10-06,"Cowboys Dancehall, San Antonio",Miguel Vazquez,Mexico,Jalisco,147,178,1987-01-06,Argenis Mendez,Dominican Republic,New York,135,178,1986-07-03,28,29,0,Welterweight
Dolton vs Molina,2015-09-29,"The Pearl, Palms Casino Resort, Las Vegas",Domonique Dolton,USA,Michigan,154,178,1989-11-20,Oscar Molina,,,153,175,1990-01-02,25,25,0,Super welterweight
Fortuna vs Velasquez,2015-09-29,"The Pearl, Palms Casino Resort, Las Vegas",Javier Fortuna,Dominican Republic,Massachusetts,130,169,1989-05-07,Carlos Ivan Velasquez,Puerto Rico,Nevada,130,175,1984-08-04,26,31,4,Super featherweight
Wilder vs Duhaupas,2015-09-26,"Legacy Arena, Birmingham, Alabama",Deontay Wilder,USA,Alabama,226,201,1985-10-22,Johann Duhaupas,France,Somme,236,195,1981-02-05,29,34,4,Heavyweight
Bundrage vs Charlo,2015-09-12,"Foxwoods Resort Casino, Mashantucket, Connecticut",Cornelius Bundrage,,,153,168,1973-04-25,Jermall Charlo,USA,Texas,160,183,1990-05-19,42,25,-17,Super welterweight
Quillin vs Zerafa,2015-09-12,"Foxwoods Resort Casino, Mashantucket, Connecticut",Peter Quillin,USA,New York,160,185,1983-06-22,Michael Zerafa,Australia,Victoria,162,180,1992-03-25,32,23,-8,Middleweight
Trout vs Hernandez,2015-09-08,"Hollywood Palladium, Los Angeles",Austin Trout,USA,New Mexico,154,177,1985-09-18,Joey Hernandez,USA,Florida,156,170,1984-10-16,29,30,0,Super welterweight
Santa Cruz vs Mares,2015-08-29,"Staples Center, Los Angeles",Leo Santa Cruz,Mexico,California,126,171,1988-08-10,Abner Mares,Mexico,California,126,164,1985-11-28,27,29,2,Featherweight
Ruiz vs Ceja,2015-08-29,"Staples Center, Los Angeles",Hugo Ruiz,Mexico,California,122,175,1986-09-21,Julio Ceja,Mexico,California,122,170,1992-11-18,28,22,-6,Super bantamweight
Huck vs Glowacki,2015-08-14,"Prudential Center, Newark, New Jersey",Marco Huck,,,199,188,1984-11-11,Krzysztof Glowacki,Poland,,200,183,1986-07-31,30,29,-1,Cruiserweight
Tarver vs Cunningham,2015-08-14,"Prudential Center, Newark, New Jersey",Antonio Tarver,USA,Florida,217,188,1968-11-21,Steve Cunningham,USA,Pennsylvania,200,190,1976-07-15,46,39,-7,Heavyweight
Payano vs Warren,2015-08-02,"Full Sail Live, Winter Park, Florida",Juan Carlos Payano,Dominican Republic,Florida,118,165,1984-04-12,Rau'shee Warren,USA,Ohio,118,169,1987-02-13,31,28,-2,Bantamweight
Shumenov vs Flores,2015-07-25,"The Pearl, Palms Casino Resort, Las Vegas",Beibut Shumenov,Kazakhstan,Nevada,200,188,1983-08-19,BJ Flores,USA,Arizona,200,188,1979-01-29,31,36,4,Cruiserweight
Shimmell vs Thomas,2015-07-25,"The Pearl, Palms Casino Resort, Las Vegas",Jordan Shimmell,USA,Michigan,200,191,1988-10-10,Isiah Thomas,USA,Michigan,200,193,1989-01-30,26,26,0,Cruiserweight
Frampton vs Gonzalez,2015-07-18,"Don Haskins Center, El Paso, Texas",Carl Frampton,United Kingdom,Northern Ireland,126,165,1987-02-21,Alejandro Gonzalez Jr,Mexico,Baja California,118,170,1993-03-08,28,22,-6,Featherweight
Harrison vs Nelson,2015-07-11,"USF Sun Dome, Tampa, Florida",Tony Harrison,USA,Michigan,154,185,1990-09-06,Willie Nelson,,,154,191,1987-04-20,24,28,3,Super welterweight
Thurman vs Collazo,2015-07-11,"USF Sun Dome, Tampa, Florida",Keith Thurman,USA,Florida,147,171,1988-11-23,Luis Collazo,USA,New York,147,175,1981-04-22,26,34,7,Welterweight
